gene	log2FoldChange	padj
Gene1623	1.073133602	0.734212551
Gene1624	0.080435385	0.75439741
Gene1625	0.01031701	0.946767411
Gene1626	0.074138195	0.899953448
Gene1627	0.073554516	8.41E-01
Gene1628	0.170035326	0.446045775
Gene1629	0.692827117	0.073199832
Gene1630	0.758261216	0.361444061
Gene1631	0.098865229	0.807502462
Gene1632	0.091181802	0.710201579
Gene1633	0.133239787	0.675395684
Gene1634	1.306187545	0.044717052
Gene1635	0	1
Gene1636	0.123198402	0.766514949
Gene1637	0.003408417	9.88E-01
Gene1638	0.636259133	0.110814383
Gene1639	0.200733756	6.31E-01
Gene1640	0.083063046	0.72636305
Gene1641	0.471837522	0.111212815
Gene1642	1.539292321	0.00063055
Gene1643	0.625296451	0.756895888
Gene1644	1.067695552	0.588148537
Gene1645	0.144092297	0.755793195
Gene1646	0.192061827	0.363597653
Gene1647	0.043441515	0.885586987
Gene1648	0.124859866	0.56382108
Gene1649	0.334512314	0.388470221
Gene1650	0.442113124	0.499792811
Gene1651	0.868046393	0.235209372
Gene1652	0.012627925	0.98918387
Gene1653	0.042307562	0.854258067
Gene1654	0.499260112	0.482153717
Gene1655	0.156462839	0.752149532
Gene1656	0.43785637	0.093969712
Gene1657	0.651524961	0.321022016
Gene1658	0.284831531	0.630752762
Gene1659	0.454240312	0.126687127
Gene1660	0.078298174	0.900663004
Gene1661	0.091210735	0.821045513
Gene1662	0.711668443	0.212964416
Gene1663	0.68782349	0.020089985
Gene1664	0.424161139	0.226808622
Gene1665	0	1.00E+00
Gene1666	0	1
Gene1667	0.2898892	0.574830513
Gene1668	0.369997173	0.517608231
Gene1669	1.463126165	0.046787345
Gene1670	0.251545665	0.591070337
Gene1671	0.13570268	0.679717597
Gene1672	0.589031718	0.02644098
Gene1673	0.127326623	0.873394636
Gene1674	1.693202475	0.333344515
Gene1675	0.221595004	0.569211119
Gene1676	0.160136942	0.584378068
Gene1677	1.073133602	0.734212551
Gene1678	1.535378309	0.012967448
Gene1679	0.127418051	0.807406432
Gene1680	0.302239508	0.400747798
Gene1681	0.946795546	0.004117751
Gene1682	0.894036297	0.186048078
Gene1683	0.149434422	0.801719412
Gene1684	0.835429589	0.130544742
Gene1685	2.102278928	0.214139666
Gene1686	0.361530001	0.520155902
Gene1687	0.627308331	0.005662872
Gene1688	1.299669302	0.030849319
Gene1689	0	1
Gene1690	0.59361071	0.678218677
Gene1691	0.26970009	0.689878499
Gene1692	0	1
Gene1693	0.339542996	0.342677949
Gene1694	0.034885687	0.908549494
Gene1695	1.071251836	0.734663796
Gene1696	0.523113516	4.77E-02
Gene1697	0.772720417	0.10114227
Gene1698	0.154634379	0.33614924
Gene1699	0.48342897	0.287862339
Gene1700	0.32586583	0.451687288
Gene1701	0.099063011	0.763627815
Gene1702	0.484818163	0.298643683
Gene1703	0.058989836	0.838454164
Gene1704	0.268503879	0.882769183
Gene1705	0.146551676	0.613528074
Gene1706	0.270154925	0.292049289
Gene1707	0.127574158	0.669053479
Gene1708	0.126003281	0.704676476
Gene1709	0.233732578	0.54191906
Gene1710	0	1
Gene1711	0.495355393	0.875464745
Gene1712	1.023646228	0.48297805
Gene1713	0.138457952	0.462994683
Gene1714	0.183813131	0.634875946
Gene1715	0	1
Gene1716	0.187565839	0.390575231
Gene1717	0.332775111	0.340529546
Gene1718	0.355061784	0.659744884
Gene1719	0.41597941	0.063755011
Gene1720	2.31503711	0.347425533
Gene1721	0.341736618	0.167043521
Gene1722	0.168413014	0.628686684
Gene1723	1.478694386	0.032116695
Gene1724	0.516673325	0.24303593
Gene1725	0.236967379	0.457968615
Gene1726	0.062416199	0.828621385
Gene1727	1.026377121	0.118959024
Gene1728	0.272608502	0.449326699
Gene1729	0.237343709	0.488715322
Gene1730	0.269803931	0.52830855
Gene1731	0.365841466	0.353562039
Gene1732	0.803782713	0.051392913
Gene1733	0.075113864	0.905997837
Gene1734	0.160710712	0.594663499
Gene1735	0.154810471	0.509077164
Gene1736	0.341315397	0.592044767
Gene1737	0.020350471	0.93399057
Gene1738	0.018512651	0.929818213
Gene1739	0.09249069	0.894367891
Gene1740	0.478136621	0.19950125
Gene1741	0.473230753	0.448360297
Gene1742	1.016166828	0.068218021
Gene1743	0.211514311	0.5643253
Gene1744	0.805987913	0.159292443
Gene1745	0.441146158	0.415772228
Gene1746	0.009593819	0.978659466
Gene1747	0.403990761	0.627318434
Gene1748	0.164613812	0.54067253
Gene1749	0.366031312	0.171133431
Gene1750	0.145837946	0.439488972
Gene1751	0	1
Gene1752	0	1
Gene1753	0.2064763	0.467346162
Gene1754	0.330190111	0.621334061
Gene1755	0.8932355	0.085289087
Gene1756	0.181765178	0.643453945
Gene1757	0.112416546	0.591407794
Gene1758	1.997091097	0.19637349
Gene1759	0.101690941	0.780521387
Gene1760	0.49606481	0.875284827
Gene1761	0.979918416	0.115626901
Gene1762	0.261264975	0.760844487
Gene1763	0.209961165	0.691834991
Gene1764	0.95319662	0.158316345
Gene1765	1.065666069	0.193049975
Gene1766	0	1
Gene1767	1.183142424	0.304190869
Gene1768	1.865902542	0.451778769
Gene1769	0	1
Gene1770	0	1
Gene1771	0.494875936	0.140777613
Gene1772	0.399157036	0.497178741
Gene1773	0.276712683	0.383516954
Gene1774	0.655314431	0.150629788
Gene1775	0.931729773	0.178414229
Gene1776	0.441570235	0.501437743
Gene1777	0.003863493	0.986118214
Gene1778	0.375018949	0.177031717
Gene1779	0.375074823	0.194813509
Gene1780	0.119222904	0.868682426
Gene1781	0.001452918	0.9968601
Gene1782	0.12468883	0.813598704
Gene1783	0.192008102	0.873311036
Gene1784	0	1
Gene1785	0.299003925	0.227897727
Gene1786	0.358986951	0.357484844
Gene1787	0.787665234	0.026386442
Gene1788	1.236232113	0.008455161
Gene1789	0.526766851	0.225729789
Gene1790	0.090634097	0.746062435
Gene1791	0	1
Gene1792	1.402528546	0.098036353
Gene1793	1.128293845	0.718767275
Gene1794	0.150904675	0.65363285
Gene1795	0.495355393	0.875464745
Gene1796	0.042253103	0.946366889
Gene1797	0.088752388	0.88921385
Gene1798	0.357450696	0.462588377
Gene1799	0.118075026	0.570244401
Gene1800	0.55279637	0.053979912
Gene1801	0.280090881	0.475856288
Gene1802	0.597962708	0.060813767
Gene1803	0.104437526	0.813084356
Gene1804	0.15228662	3.53E-01
Gene1805	0.429737876	0.211926976
Gene1806	0.653333817	0.07002567
Gene1807	0.412596685	0.126554562
Gene1808	0.155842579	0.754416165
Gene1809	1.141054959	0.040420664
Gene1810	0.658805161	0.349351728
Gene1811	2.038127137	0.139555838
Gene1812	0.392611026	0.301490338
Gene1813	0.455712671	0.080497006
Gene1814	0.71480983	0.236192263
Gene1815	0.671148997	0.171276368
Gene1816	0.334808683	3.40E-01
Gene1817	0.313094363	2.27E-01
Gene1818	0.11248187	0.884804937
Gene1819	0.285040834	3.54E-01
Gene1820	0.104059122	0.488872689
Gene1821	1.110768422	0.086785679
Gene1822	0.495355393	0.875464745
Gene1823	0.104185493	0.830781729
Gene1824	0.478319316	8.63E-02
Gene1825	0.008291439	0.977167918
Gene1826	0.018206808	0.923508814
Gene1827	0.495355393	0.875464745
Gene1828	1.451890371	0.644970208
Gene1829	0.024749825	0.975108253
Gene1830	2.003138596	0.240253558
Gene1831	0.625991562	0.609770355
Gene1832	0.772435376	0.068109158
Gene1833	1.744962067	0.149614937
Gene1834	1.211206149	0.104037531
Gene1835	0.140234086	0.462468375
Gene1836	0.127692994	0.554173736
Gene1837	0.593679341	0.513729003
Gene1838	0.295495391	0.153203429
Gene1839	0.677609133	2.05E-01
Gene1840	0	1
Gene1841	0.443192889	0.368980198
Gene1842	0.44001473	0.461279855
Gene1843	0.611878163	0.241026912
Gene1844	0.238919688	0.442345372
Gene1845	0.226859933	0.554128801
Gene1846	0.155147963	0.509364121
Gene1847	0.179007249	0.871780502
Gene1848	0	1
Gene1849	0.838714755	0.026335095
Gene1850	1.258948766	0.091113222
Gene1851	0.567046825	0.066392751
Gene1852	0.404008388	0.697538026
Gene1853	1.804284081	0.320790403
Gene1854	0.136153319	0.803071178
Gene1855	0.102199291	0.66040626
Gene1856	0.075373276	0.726417398
Gene1857	0.10222685	0.60669056
Gene1858	2.047048547	0.287940827
Gene1859	0.336538936	0.44837489
Gene1860	0.909710428	0.021504448
Gene1861	0.414661252	0.308958423
Gene1862	0.209916291	0.455781392
Gene1863	0.010879889	0.967344247
Gene1864	0.310679433	0.397060859
Gene1865	0.150085174	0.454844783
Gene1866	0.250630134	0.40869236
Gene1867	0.071175335	0.718492634
Gene1868	0.148649752	0.647389329
Gene1869	0.323415253	0.24834196
Gene1870	0.224679243	0.376664145
Gene1871	0.03299987	0.966440129
Gene1872	0.064382157	0.863033793
Gene1873	0.238273835	0.682856165
Gene1874	0.068409049	0.837544412
Gene1875	0.543278746	0.022466632
Gene1876	0.081296403	0.853287644
Gene1877	0.574679918	0.431851088
Gene1878	0.428281637	0.245355148
Gene1879	0.370546538	0.238677016
Gene1880	0.231498012	0.294086932
Gene1881	0.285765453	0.358858258
Gene1882	0.519957307	0.150346105
Gene1883	0	1
Gene1884	0.021757011	9.49E-01
Gene1885	0.430834673	1.40E-01
Gene1886	0.025205894	0.956187115
Gene1887	0.122762376	0.671410595
Gene1888	0.150079365	0.60435136
Gene1889	0.160108164	0.48586149
Gene1890	0.230857238	0.460215078
Gene1891	1.318886699	0.158305351
Gene1892	0.209151634	0.612433706
Gene1893	0.859074078	0.24869421
Gene1894	0.054940121	0.785691629
Gene1895	0.161878403	0.620795268
Gene1896	0.701018956	0.090696815
Gene1897	0.499003622	0.236436152
Gene1898	0	1
Gene1899	0.069335356	0.843414799
Gene1900	0.045928226	0.939640357
Gene1901	0.036781992	0.835992069
Gene1902	0.146088447	0.646490433
Gene1903	0.370402323	0.316117455
Gene1904	0.265620728	0.815975549
Gene1905	0	1
Gene1906	0.466005711	0.374879979
Gene1907	0.051245072	0.869059889
Gene1908	0.55036015	0.025012578
Gene1909	0.252488907	0.256933977
Gene1910	0.151141636	0.621238114
Gene1911	0.687570015	0.051474167
Gene1912	0.302349818	0.371122862
Gene1913	0.59140806	0.771639178
Gene1914	0.154270494	0.586572232
Gene1915	0.396186022	0.838648155
Gene1916	0.031763058	0.868919313
Gene1917	0.013474374	0.949383193
Gene1918	0.351692139	0.446196769
Gene1919	0.231584724	0.806527643
Gene1920	0.477406926	0.367367073
Gene1921	0.183675674	0.773415843
Gene1922	0.153711523	0.819929281
Gene1923	0.351524636	0.4217445
Gene1924	0.805341728	0.125343684
Gene1925	0.217363367	0.559897689
Gene1926	0.408485631	0.20703192
Gene1927	0.122554821	0.631222654
Gene1928	0.131721224	0.628030071
Gene1929	0.495355393	0.875464745
Gene1930	0.328471353	0.53330284
Gene1931	0.41083266	0.265602095
Gene1932	0.672731596	0.526094303
Gene1933	0.441250036	0.529012016
Gene1934	0.277078736	0.426302804
Gene1935	0.494181297	0.875755844
Gene1936	0.743580061	0.119359131
Gene1937	0.363043643	0.323478962
Gene1938	0.196563209	0.432058517
Gene1939	0.05972604	0.800023912
Gene1940	0.448517046	2.66E-01
Gene1941	0.266392851	0.319063264
Gene1942	0.516946706	0.253277469
Gene1943	0.106696607	0.699748631
Gene1944	0.249548342	0.32949663
Gene1945	0.120190561	0.77568777
Gene1946	0.133338975	0.679269667
Gene1947	0.040250879	8.66E-01
Gene1948	1.309341038	0.042226802
Gene1949	0.036032331	0.888838965
Gene1950	0.05087347	0.877831674
Gene1951	0.193227179	0.625825569
Gene1952	0.108417041	0.690918858
Gene1953	0.982453365	0.126683754
Gene1954	0.775997361	0.71244667
Gene1955	0.030122928	0.903332321
Gene1956	0.099818025	0.66931656
Gene1957	0.191272675	0.549490211
Gene1958	0	1
Gene1959	0.786094719	0.130605551
Gene1960	0.249950213	0.314363163
Gene1961	0.790465099	0.507775722
Gene1962	0.097688335	0.932371011
Gene1963	0.075645941	0.892690132
Gene1964	0.331005963	0.534798093
Gene1965	0.735975037	0.307822877
Gene1966	0.171676464	0.373798453
Gene1967	0.240438855	0.373097238
Gene1968	0.148423186	0.785053192
Gene1969	0.204079058	4.06E-01
Gene1970	0.634414893	0.1562945
Gene1971	0.893760238	0.331896353
Gene1972	1.595972662	0.611431058
Gene1973	0.045262009	0.874044552
Gene1974	0.510898007	0.15021911
Gene1975	0.212106387	0.676324611
Gene1976	1.073133602	0.734212551
Gene1977	0.176569919	0.511487136
Gene1978	0.124805406	0.736216858
Gene1979	0.385245098	0.143406423
Gene1980	0.771106926	0.271782905
Gene1981	0.368678091	0.344123121
Gene1982	0.097134538	0.671144683
Gene1983	0.212402286	0.538027381
Gene1984	1.52448872	0.030245205
Gene1985	0.48000952	0.285617676
Gene1986	0	1
Gene1987	0.743680055	0.619947952
Gene1988	0.121167162	0.651954752
Gene1989	1.822030334	0.016749392
Gene1990	0.314844406	0.338537712
Gene1991	0.359278848	0.393515984
Gene1992	0.053954803	0.875753838
Gene1993	0.490897015	0.243628994
Gene1994	0.490649215	1.66E-01
Gene1995	0.114420636	0.533401097
Gene1996	0.478546259	0.06885883
Gene1997	0.710237698	0.339161472
Gene1998	0.343377086	0.795471662
Gene1999	1.073133602	0.734212551
Gene2000	0.624068912	0.118983728
Gene2001	0.155002708	0.776506108
Gene2002	0.182232165	0.617433897
Gene2003	1.169001615	0.085702858
Gene2004	0.905142593	0.26768116
Gene2005	0.072734737	0.859994116
Gene2006	0.150599927	0.797100331
Gene2007	0.100244081	0.737699289
Gene2008	0	1
Gene2009	0.45318633	0.267739538
Gene2010	1.684229979	4.52E-02
Gene2011	0.179568322	0.473337846
Gene2012	0.256583341	0.213740175
Gene2013	0.349130365	0.159500559
Gene2014	0.488984587	0.233143328
Gene2015	0.52697457	0.100425114
Gene2016	0.489034653	0.112243344
Gene2017	0.312093912	0.511504795
Gene2018	0.006193099	9.81E-01
Gene2019	0.013424553	0.975782856
Gene2020	0.42701718	0.126629934
Gene2021	0.073261289	0.853243797
Gene2022	0.318806214	0.363436658
Gene2023	0.450502734	0.05071147
Gene2024	0.483080038	0.348811451
Gene2025	0.174162803	0.382249244
Gene2026	0.250421257	0.273638892
Gene2027	0.339758292	0.252935263
Gene2028	0.162237439	0.583414734
Gene2029	0.070296323	0.698740348
Gene2030	0.291313813	0.123166834
Gene2031	0.243326086	0.399746787
Gene2032	0.379879989	0.188350075
Gene2033	0.168041301	0.515607288
Gene2034	0.752294639	0.568120528
Gene2035	0.569275126	0.412879325
Gene2036	0	1
Gene2037	0.10928	0.733455423
Gene2038	0.31931808	0.312772053
Gene2039	0.477165128	0.172582398
Gene2040	0.016645066	0.974376891
Gene2041	0.118577052	0.629014592
Gene2042	0.225765952	0.427248097
Gene2043	0.385437506	0.159574199
Gene2044	0.652373257	0.401620189
Gene2045	0.441621343	0.120807464
Gene2046	0.193975038	0.676941026
Gene2047	0.059334509	0.808904068
Gene2048	0.242438702	0.356419391
Gene2049	0	1
Gene2050	0.260415243	0.550192015
Gene2051	0.041386489	0.884287768
Gene2052	0.11924817	0.840189454
Gene2053	0.008719144	0.99779661
Gene2054	0.216777258	0.589284082
Gene2055	0.24143335	0.366486109
Gene2056	0.748586265	0.012840603
Gene2057	0.143243453	0.561923457
Gene2058	0.113819624	5.63E-01
Gene2059	0.124030584	0.72311992
Gene2060	0.025507395	0.922183555
Gene2061	0.502631902	0.136261856
Gene2062	0.324759288	0.196725399
Gene2063	0.18835598	0.423643597
Gene2064	0.408825386	0.108391018
Gene2065	0.298932796	0.433476729
Gene2066	0.756110677	0.231840313
Gene2067	0.779538199	0.086242781
Gene2068	0.627816321	2.24E-01
Gene2069	0.438484883	0.235917041
Gene2070	0.671847651	1
Gene2071	0.185873207	0.388443616
Gene2072	0.406224505	5.35E-01
Gene2073	1.469970381	0.459051219
Gene2074	0.338718938	0.292970141
Gene2075	0	1
Gene2076	0	1
Gene2077	0.711259328	0.050796643
Gene2078	0.346663629	0.475589961
Gene2079	0.891906528	0.761497164
Gene2080	0.14933823	7.36E-01
Gene2081	0.091639894	0.805675667
Gene2082	0.301951948	0.327692311
Gene2083	0.286482292	0.413701987
Gene2084	0.15719568	0.717812785
Gene2085	0	1
Gene2086	0.349586901	0.360150622
Gene2087	0.694969394	0.201120363
Gene2088	0.447374553	0.306353992
Gene2089	0.580246269	0.401643719
Gene2090	0.411137957	0.446794006
Gene2091	1.100076285	0.05946219
Gene2092	0.281344868	0.278454744
Gene2093	0.082580695	0.743411907
Gene2094	0.45972254	0.11626316
Gene2095	0.072910558	0.767437324
Gene2096	0.199042018	0.398400855
Gene2097	0.035556584	0.867474621
Gene2098	0.862093696	2.33E-02
Gene2099	0	1
Gene2100	0.555099388	0.218282847
Gene2101	0.027539936	0.930985733
Gene2102	0.100206784	0.870508082
Gene2103	0.123696004	0.811836688
Gene2104	0.707304445	0.007742583
Gene2105	0.051837987	0.885132863
Gene2106	0.734811196	0.449113905
Gene2107	0.039294319	0.953445913
Gene2108	0.773033128	0.17818928
Gene2109	0.086831943	0.859452557
Gene2110	0.67479252	0.215660422
Gene2111	0.516430786	0.025433276
Gene2112	0.273093061	0.179673251
Gene2113	0.495355393	0.875464745
Gene2114	0.68381618	0.03232963
Gene2115	0.7740976	0.230734505
Gene2116	0.382262715	0.193448984
Gene2117	0.191035215	0.416216289
Gene2118	0.346492359	4.02E-01
Gene2119	0.38138512	0.242582449
Gene2120	0.866044768	0.109183556
Gene2121	0.015701722	0.943232899
Gene2122	1.102609208	0.092862965
Gene2123	0.135817505	0.673770169
Gene2124	0.420143829	0.118232938
Gene2125	0.317546664	0.169165693
Gene2126	0.928102189	0.279909422
Gene2127	0.016968683	0.953650863
Gene2128	0.081500555	0.839660365
Gene2129	0.333189149	0.447036525
Gene2130	1.709394785	0.585325631
Gene2131	0.140437337	0.488389622
Gene2132	0.302616601	0.530723213
Gene2133	0.410521624	0.189211182
Gene2134	0.283663748	0.426972948
Gene2135	0.179457747	0.432706703
Gene2136	2.200907814	0.000165305
Gene2137	0.199546498	0.616291266
Gene2138	0.130345586	0.82698035
Gene2139	0.695608286	0.159958689
Gene2140	0.411571159	0.239030007
Gene2141	0	1
Gene2142	0.996207545	6.45E-02
Gene2143	0.530540047	0.07352278
Gene2144	0.253173401	0.427224985
Gene2145	0.36968436	0.355476519
Gene2146	0.342857225	0.210929481
Gene2147	0.222291182	0.37588539
Gene2148	0.309778722	9.03E-02
Gene2149	0.415805465	2.30E-01
Gene2150	0.383635752	0.074412279
Gene2151	0.260517674	0.294052232
Gene2152	0.048500337	0.813489357
Gene2153	0.920212244	0.346615971
Gene2154	0.221714143	0.363867988
Gene2155	2.13364379	0.492134975
Gene2156	0.579890974	0.008958802
Gene2157	2.406002544	0.009483874
Gene2158	0.434510079	0.103309707
Gene2159	0.359522853	1.18E-01
Gene2160	0.320415226	0.441605305
Gene2161	0	1
Gene2162	0.08121075	0.740658398
Gene2163	0.295018666	0.389691142
Gene2164	0.26708861	0.551282013
Gene2165	0.693502556	0.169477333
Gene2166	1.140684986	0.252397244
Gene2167	1.135698855	0.096045725
Gene2168	1.128293845	0.718767275
Gene2169	0.151152698	0.688770226
Gene2170	0.416758722	0.65440994
Gene2171	0.224554442	0.600468028
Gene2172	0.488213037	2.38E-01
Gene2173	1.481904266	0.183317149
Gene2174	0	1
Gene2175	0.208486203	0.402608507
Gene2176	0.602689714	0.611828842
Gene2177	0.545556752	0.206041615
Gene2178	0	1.00E+00
Gene2179	1.462873216	0.566328915
Gene2180	0.21321267	0.436759162
Gene2181	0.111308256	0.736037372
Gene2182	0.670091428	0.278788573
Gene2183	0.621305297	0.298063869
Gene2184	0.410057812	0.090137524
Gene2185	0.794100582	1
Gene2186	0.036127456	0.963230672
Gene2187	0.32059768	0.42446678
Gene2188	0.205115677	0.439426397
Gene2189	0.589657639	9.72E-02
Gene2190	0.080701432	8.26E-01
Gene2191	0.061545693	0.774595648
Gene2192	0.265668704	0.533166375
Gene2193	0.109014734	0.753462618
Gene2194	0.473801924	0.682842871
Gene2195	0.414827884	0.329224806
Gene2196	0.49606481	0.875284827
Gene2197	0	1
Gene2198	0.143490851	0.432476297
Gene2199	0.064002427	0.914755616
Gene2200	0.029660553	0.910186096
Gene2201	0.326193047	0.285086423
Gene2202	1.237891446	0.020025529
Gene2203	0.666991604	0.138819647
Gene2204	0.215315517	0.746803878
Gene2205	0.188985357	0.616230588
Gene2206	0.202348036	0.629726032
Gene2207	2.998188012	0.013449715
Gene2208	0.269313277	0.597204355
Gene2209	0.175069982	0.724458043
Gene2210	0.18883767	0.430792557
Gene2211	0.237363954	0.651099782
Gene2212	0.424210363	0.258602663
Gene2213	1.194152309	0.069777541
Gene2214	0.115011365	0.93542904
Gene2215	0.257562084	0.90125622
Gene2216	0.082031616	0.752647055
Gene2217	0.058759476	0.926230095
Gene2218	0.140272997	0.565961567
Gene2219	0.239379733	0.404984043
Gene2220	0.16862992	0.613398715
Gene2221	0.536441876	0.563048327
Gene2222	0.202659915	0.455836686
Gene2223	0.238761093	0.409742903
Gene2224	0.003734811	0.981540154
Gene2225	0.147675793	0.796833237
Gene2226	0.128984756	0.633673284
Gene2227	0.59380537	0.138203615
Gene2228	0.05777437	0.860517118
Gene2229	0.093136144	0.617608947
Gene2230	0.210818475	0.411599998
Gene2231	0.288008314	0.713326506
Gene2232	0.111507706	0.733224766
Gene2233	0.195591921	0.302834944
Gene2234	0.674663825	0.167506165
Gene2235	0.767534753	0.267946027
Gene2236	0.367434191	0.176871579
Gene2237	0.187342176	0.521068111
Gene2238	0.32832612	0.031671959
Gene2239	0.460524763	0.108595133
Gene2240	0.179994444	0.837342941
Gene2241	1.186670339	0.055454803
Gene2242	0.207988529	0.517455466
Gene2243	0.032033931	0.898718218
Gene2244	0.040661175	0.941889254
Gene2245	0.367897348	0.340964839
Gene2246	0.363032333	0.325969616
Gene2247	0.195573255	0.713603021
Gene2248	1.537771291	0.327854016
Gene2249	0.012122937	0.973856622
Gene2250	0.342924972	0.126150007
Gene2251	0.157381593	0.662040795
Gene2252	0.099827286	0.600805255
Gene2253	0.458004553	0.201870365
Gene2254	0.712372704	0.150369115
Gene2255	0.249443392	0.426575857
Gene2256	0.227045989	0.323732741
Gene2257	0.393937589	0.251308351
Gene2258	0.204015511	0.664703602
Gene2259	0.329916603	0.264482055
Gene2260	0.163869226	0.530194062
Gene2261	1.073133602	0.734212551
Gene2262	0.117682632	0.933535245
Gene2263	0.508267798	0.449844758
Gene2264	0.409836413	0.349352018
Gene2265	0.146058213	0.650065107
Gene2266	0.369909096	0.163281024
Gene2267	0.575114423	0.034678646
Gene2268	0.07994656	0.822123321
Gene2269	1.999972061	0.076860888
Gene2270	1.468729249	0.064059258
Gene2271	0.495355393	0.875464745
Gene2272	0.183792989	0.730214174
Gene2273	0.411449302	0.398437503
Gene2274	0.413343792	0.106638044
Gene2275	0	1
Gene2276	2.360278333	0.000402143
Gene2277	0	1
Gene2278	0.180050614	0.796566858
Gene2279	0.495355393	0.875464745
Gene2280	0.592628796	0.117288815
Gene2281	0	1
Gene2282	0	1
Gene2283	0.459989555	0.832852052
Gene2284	0.031569709	0.966008582
Gene2285	1.682543871	0.203836943
Gene2286	0.387441212	6.08E-01
Gene2287	0	1
Gene2288	0.255706932	0.497940526
Gene2289	0.380801318	0.47078973
Gene2290	1.481735277	0.215643071
Gene2291	0.224975251	0.677178646
Gene2292	0.579015304	0.206885508
Gene2293	2.936819421	0.296290432
Gene2294	0.044886545	0.903975874
Gene2295	0.727581061	0.496031378
Gene2296	0	1
Gene2297	0.699790256	0.441739447
Gene2298	0.340555189	0.28206865
Gene2299	0.359427354	0.241326947
Gene2300	0.023837357	0.936422517
Gene2301	0.21749045	0.686512977
Gene2302	0	1
Gene2303	0.711998836	0.077389065
Gene2304	0.932354066	0.006923676
Gene2305	0.476954506	0.212160707
Gene2306	0.637370896	0.079315424
Gene2307	0.126887695	9.22E-01
Gene2308	0.173053954	3.88E-01
Gene2309	0.33620289	0.360969086
Gene2310	0.707215316	0.153108746
Gene2311	0.203418166	0.783562575
Gene2312	0.103147224	0.731570355
Gene2313	0.174207728	0.56625697
Gene2314	0.069423884	0.798776655
Gene2315	0.290714692	0.396915644
Gene2316	0.251204916	0.345851759
Gene2317	0.019345415	0.988357172
Gene2318	0.407024426	0.199540085
Gene2319	0.120876839	0.617452153
Gene2320	0.748224786	0.018442145
Gene2321	0.295403946	0.374134263
Gene2322	0.078523492	0.76126321
Gene2323	0.035788499	0.896328092
Gene2324	0.12520317	0.692813787
Gene2325	0.513969122	0.399196401
Gene2326	0.448014731	0.118449486
Gene2327	0.217354747	0.620842825
Gene2328	0.35668186	0.451168862
Gene2329	0.0558066	0.839402579
Gene2330	0.518623039	0.351302518
Gene2331	0.018595328	0.982705214
Gene2332	1.958777681	0.458253085
Gene2333	0.22802941	0.427217149
Gene2334	0.12106939	7.64E-01
Gene2335	0.170723743	5.57E-01
Gene2336	0.036152516	0.80723904
Gene2337	0	1
Gene2338	0.011173294	0.960361197
Gene2339	0.060423729	0.821946957
Gene2340	0.581550764	0.558871543
Gene2341	0.077319634	0.697999767
Gene2342	0.156339689	0.592009443
Gene2343	0.206944634	0.42315469
Gene2344	0.444068415	0.10041534
Gene2345	0.145840755	0.703546626
Gene2346	0.00815037	9.65E-01
Gene2347	0.415058799	0.804084295
Gene2348	0.799773308	0.080659655
Gene2349	0.074083841	0.910911862
Gene2350	0.776617814	0.112377128
Gene2351	1.050877082	0.137868838
Gene2352	0.678629972	0.095107805
Gene2353	0.179197691	0.462973929
Gene2354	0	1
Gene2355	0.255783346	0.702178669
Gene2356	0.64131141	0.144635621
Gene2357	0	1
Gene2358	0.992510772	0.255838927
Gene2359	0	1
Gene2360	0	1
Gene2361	0.375677748	0.075251993
Gene2362	0.720177248	0.023720348
Gene2363	1.619886025	0.018055313
Gene2364	0.616412461	0.028468152
Gene2365	0.261786278	0.385878878
Gene2366	0.084104962	0.752482184
Gene2367	2.195715269	0.091180536
Gene2368	0.589588223	1.51E-01
Gene2369	0.019567566	0.939170633
Gene2370	0.05977662	0.830697427
Gene2371	0	1
Gene2372	0.258476414	0.309540253
Gene2373	0.079901096	0.737664765
Gene2374	0.414304804	0.581551517
Gene2375	0.445861487	0.287192829
Gene2376	0.380130984	0.255779186
Gene2377	0.772129559	0.341530334
Gene2378	0.127673852	0.754724263
Gene2379	0.203648225	0.654018141
Gene2380	0.015436487	0.968455057
Gene2381	0.020226409	0.949780844
Gene2382	0.028579205	0.856026385
Gene2383	0.06175489	0.802928902
Gene2384	0.185241731	0.582510497
Gene2385	0.15946282	0.776600401
Gene2386	0.42455298	0.207494559
Gene2387	0.495355393	0.875464745
Gene2388	0.458210412	0.242814632
Gene2389	0.205081956	0.392843009
Gene2390	0.54972824	4.77E-01
Gene2391	0.395383732	0.287466312
Gene2392	0.320091337	0.533468715
Gene2393	1.070691446	0.577582968
Gene2394	0.63601909	0.141930801
Gene2395	0.080653053	0.742801306
Gene2396	1.343200199	0.045688798
Gene2397	0.133864949	0.637248298
Gene2398	0.275960517	0.556062029
Gene2399	0.34396269	0.188171312
Gene2400	0.463848209	0.280225796
Gene2401	0.048105869	0.901756356
Gene2402	0.097218723	0.758445878
Gene2403	0.262808744	0.341012811
Gene2404	0.653986844	0.037049816
Gene2405	0.325817057	0.606377751
Gene2406	0	1.00E+00
Gene2407	0	1
Gene2408	0.495355393	0.875464745
Gene2409	1.023020845	0.100022643
Gene2410	0	1
Gene2411	0.167948572	0.617628127
Gene2412	0.641719116	0.324727898
Gene2413	0.73702376	0.218813642
Gene2414	0.2609269	0.442674666
Gene2415	0.495355393	0.875464745
Gene2416	0.294245648	0.388817943
Gene2417	0.085505666	0.826794129
Gene2418	1.284738106	0.08737486
