gene	log2FoldChange	padj
Gene189	0.613843451	0.177153929
Gene190	0.387466698	0.250384241
Gene191	0.334941207	0.472641288
Gene192	0.49709453	0.260660509
Gene193	0.197518012	0.635645434
Gene194	0.271047734	0.335718997
Gene195	0.504304138	0.071334877
Gene196	0.082850127	0.901373916
Gene197	0.131414068	0.599148075
Gene198	0.971975357	0.233403328
Gene199	0.067952112	0.783817234
Gene200	0.100794341	0.768362717
Gene201	0.081795666	0.791052338
Gene202	0.194153392	0.795003032
Gene203	0	1
Gene204	0.05728041	0.917259824
Gene205	0.31813922	0.197145774
Gene206	0.209230784	0.635454646
Gene207	0.276581764	0.314087602
Gene208	2.094167526	0.007203536
Gene209	0.680448322	0.786565412
Gene210	0.1624936	0.636615426
Gene211	0.823516639	0.221544331
Gene212	0.322035799	0.622135032
Gene213	1.300732687	0.011996513
Gene214	0.266367656	0.305555358
Gene215	0.135515157	0.604719903
Gene216	0.679595638	2.27E-01
Gene217	0.381315142	9.93E-02
Gene218	0.860830069	0.10203763
Gene219	0.139063915	0.543331617
Gene220	0.431921985	0.271233681
Gene221	0.522354804	0.745293771
Gene222	0.58005026	0.118415899
Gene223	0.190093451	0.376075889
Gene224	0.753737857	0.077027671
Gene225	0.018797922	9.54E-01
Gene226	0.712729693	1.01E-01
Gene227	0	1
Gene228	0.151470791	0.800942882
Gene229	1.04020479	0.19106217
Gene230	0.356972477	0.587105925
Gene231	0.111667506	0.66399295
Gene232	0.240092807	0.271947675
Gene233	2.043804734	0.511229769
Gene234	0.441718105	0.429301817
Gene235	0.073008899	6.49E-01
Gene236	0.063599164	0.926395541
Gene237	0.286601237	0.439920255
Gene238	0.27803515	0.506377494
Gene239	0.740557449	0.020576178
Gene240	0.118440846	0.588737298
Gene241	0.135285682	0.943702672
Gene242	0.815146871	0.051103173
Gene243	0.044271743	0.891744109
Gene244	0.066022311	8.25E-01
Gene245	0.212859968	0.404929739
Gene246	0.050024435	0.845088933
Gene247	0.555574076	0.108446772
Gene248	0.826821373	0.065764272
Gene249	0	1
Gene250	0.757068967	0.122775322
Gene251	0.094448709	0.676731759
Gene252	0.271579617	0.443051865
Gene253	0.300825157	0.150840698
Gene254	0.084178717	0.779273923
Gene255	0.295123631	0.1745489
Gene256	3.093560476	0.165498062
Gene257	0.191200525	0.625328256
Gene258	0.522803379	0.305819879
Gene259	0.316474714	0.488817742
Gene260	0.152279931	0.756238857
Gene261	0.842221372	0.058214406
Gene262	1.316216522	0.051032139
Gene263	1.025308653	0.062925151
Gene264	0.168816426	0.432386332
Gene265	0.363245225	0.070356502
Gene266	0.182860096	0.579053855
Gene267	0.240045158	0.300602219
Gene268	0.174287629	0.775062986
Gene269	0.593218029	0.021310052
Gene270	1.079970244	0.419906416
Gene271	0.089113347	0.605926883
Gene272	0.091701177	0.739918378
Gene273	0.308529559	0.397270658
Gene274	1.235275152	0.081699269
Gene275	0.632559591	0.466710991
Gene276	0.652480879	0.08443172
Gene277	0.223170711	0.312814631
Gene278	0.228054931	0.516303489
Gene279	1.217168531	0.174764183
Gene280	0.113098437	0.793608014
Gene281	0.060954041	0.864943914
Gene282	0.177009433	0.556411324
Gene283	0.541528753	0.087086823
Gene284	0.058531911	0.841807444
Gene285	0.260244458	0.389723765
Gene286	0	1
Gene287	0.021258261	0.946399371
Gene288	0.006409202	0.98216277
Gene289	0.586035107	0.222354316
Gene290	0	1
Gene291	0.587504966	0.18660219
Gene292	0.183803463	0.564952991
Gene293	0.147754705	0.546982974
Gene294	0.028705376	0.933246685
Gene295	0.567987401	0.017052391
Gene296	0.066095126	0.831526547
Gene297	0.265839748	0.462437713
Gene298	0.52757147	0.220508437
Gene299	0.028672718	0.859180234
Gene300	0.161796738	0.673132633
Gene301	0.209302445	0.453615042
Gene302	0.532068727	0.104358451
Gene303	0	1
Gene304	1.61895956	0.021312059
Gene305	0.638606548	0.614571811
Gene306	0.312821193	0.481181602
Gene307	0.023040749	9.09E-01
Gene308	1.138793854	0.005680453
Gene309	0.542574809	0.581963938
Gene310	0.17195647	0.398828539
Gene311	0.01405613	0.960344103
Gene312	0.112110017	0.610615158
Gene313	0.187660596	0.371218842
Gene314	0.084727854	0.730742151
Gene315	0.046039504	0.953814452
Gene316	0.059501317	0.81573054
Gene317	0.260872613	0.348817954
Gene318	0.374379593	0.263024702
Gene319	1.029260484	0.082648789
Gene320	0.093687543	0.776769396
Gene321	0.649697784	0.167584696
Gene322	0.412245222	0.416375193
Gene323	0	1
Gene324	0.005761586	0.996015042
Gene325	0.495355393	0.875464745
Gene326	0.184267942	0.500582032
Gene327	0.310036985	0.734808425
Gene328	0.004933133	0.993285044
Gene329	0	1
Gene330	0.073188052	0.797203014
Gene331	0.256495116	0.768385716
Gene332	0.801815288	0.322425099
Gene333	1.168078515	0.090824873
